学生番号【ダミー】,年度,Q01_所属学部,Q01_所属学部_ラベル,Q02_学年,Q03_履修科目数,Q04_授業時間外学習時間,Q04_授業時間外学習時間_ラベル,Q05_授業の理解度,Q05_授業の理解度_ラベル,Q06_授業の満足度,Q06_授業の満足度_ラベル,Q07_課題が多い,Q07_課題が多い_ラベル,Q08_あなたの学生生活は充実していますか,Q08_あなたの学生生活は充実していますか_ラベル,Q09_教員とのコミュニケーション,Q09_教員とのコミュニケーション_ラベル,Q10_他の学生とのコミュニケーション,Q10_他の学生とのコミュニケーション_ラベル,Q11_図書館の設備,Q11_図書館の設備_ラベル,Q12_学内のICT環境について,Q12_学内のICT環境について_ラベル,GPA,TOEIC
"20A095",2020.000,2,"商学部","1年生",11,7,"16-20 時間",4,"よく理解できた",2,"不満",3,"どちらでもない",2,"あまり充実していない",1,"まったくうまくいかなかった",2,"あまりうまくいかなかった",2,"不満",5,"とても満足",2.400,571.000
"20A096",2020.000,2,"商学部","1年生",6,4,"3-5 時間",5,"大変よく理解できた",5,"とても満足",3,"どちらでもない",3,"まあまあ充実している",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",3,"どちらでもない",3,"どちらでもない",2.610,597.000
"20A097",2020.000,2,"商学部","1年生",12,8,"20 時間以上",3,"どちらでもない",2,"不満",5,"とてもそう思う",1,"充実していない",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",4,"満足",4,"満足",2.290,419.000
"20A098",2020.000,3,"保健学部","1年生",11,6,"11-15 時間",1,"まったく理解できなかった",1,"とても不満",4,"ややそう思う",3,"まあまあ充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",1,"とても不満",3,"どちらでもない",2.050,301.000
"20A099",2020.000,3,"保健学部","1年生",7,6,"11-15 時間",2,"あまり理解できなかった",2,"不満",2,"あまりそう思わない",3,"まあまあ充実している",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",2,"不満",1,"とても不満",2.800,652.000
"20A100",2020.000,1,"文学部","1年生",9,6,"11-15 時間",2,"あまり理解できなかった",1,"とても不満",5,"とてもそう思う",1,"充実していない",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",2,"不満",1,"とても不満",1.980,664.000
"20A101",2020.000,1,"文学部","1年生",8,4,"3-5 時間",2,"あまり理解できなかった",2,"不満",3,"どちらでもない",2,"あまり充実していない",2,"あまりうまくいかなかった",2,"あまりうまくいかなかった",2,"不満",2,"不満",2.720,542.000
"20A102",2020.000,3,"保健学部","1年生",11,8,"20 時間以上",3,"どちらでもない",3,"どちらでもない",4,"ややそう思う",3,"まあまあ充実している",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",3,"どちらでもない",3,"どちらでもない",2.620,598.000
"20A103",2020.000,1,"文学部","1年生",12,7,"16-20 時間",4,"よく理解できた",4,"満足",4,"ややそう思う",2,"あまり充実していない",3,"いくらかうまくいった",2,"あまりうまくいかなかった",4,"満足",4,"満足",2.940,382.000
"20A104",2020.000,2,"商学部","1年生",13,5,"6-10 時間",5,"大変よく理解できた",4,"満足",5,"とてもそう思う",3,"まあまあ充実している",2,"あまりうまくいかなかった",1,"まったくうまくいかなかった",5,"とても満足",5,"とても満足",3.360,858.000
"20A105",2020.000,2,"商学部","1年生",12,6,"11-15 時間",2,"あまり理解できなかった",1,"とても不満",5,"とてもそう思う",3,"まあまあ充実している",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",1,"とても不満",2,"不満",2.410,566.000
"20A106",2020.000,1,"文学部","1年生",3,2,"1 時間未満",3,"どちらでもない",2,"不満",2,"あまりそう思わない",3,"まあまあ充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",2,"不満",3,"どちらでもない",2.270,585.000
"20A107",2020.000,1,"文学部","1年生",13,8,"20 時間以上",2,"あまり理解できなかった",2,"不満",5,"とてもそう思う",4,"充実している",1,"まったくうまくいかなかった",4,"とてもうまくいった",2,"不満",4,"満足",2.430,536.000
"20A108",2020.000,3,"保健学部","1年生",3,3,"1-2 時間",4,"よく理解できた",2,"不満",1,"まったくそう思わない",2,"あまり充実していない",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",4,"満足",5,"とても満足",2.100,640.000
"20A109",2020.000,1,"文学部","1年生",10,5,"6-10 時間",4,"よく理解できた",5,"とても満足",5,"とてもそう思う",4,"充実している",4,"とてもうまくいった",3,"いくらかうまくいった",5,"とても満足",5,"とても満足",1.420,679.000
"20A110",2020.000,1,"文学部","1年生",7,6,"11-15 時間",3,"どちらでもない",3,"どちらでもない",3,"どちらでもない",3,"まあまあ充実している",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",3,"どちらでもない",3,"どちらでもない",3.820,666.000
"20A111",2020.000,3,"保健学部","1年生",10,6,"11-15 時間",1,"まったく理解できなかった",2,"不満",5,"とてもそう思う",3,"まあまあ充実している",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",4,"満足",3,"どちらでもない",1.930,477.000
"20A112",2020.000,3,"保健学部","1年生",8,5,"6-10 時間",3,"どちらでもない",2,"不満",2,"あまりそう思わない",2,"あまり充実していない",2,"あまりうまくいかなかった",1,"まったくうまくいかなかった",5,"とても満足",5,"とても満足",2.850,334.000
"20A113",2020.000,3,"保健学部","1年生",10,6,"11-15 時間",3,"どちらでもない",3,"どちらでもない",4,"ややそう思う",3,"まあまあ充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",2,"不満",2,"不満",2.630,766.000
"20A114",2020.000,2,"商学部","1年生",11,5,"6-10 時間",2,"あまり理解できなかった",4,"満足",5,"とてもそう思う",3,"まあまあ充実している",4,"とてもうまくいった",4,"とてもうまくいった",3,"どちらでもない",3,"どちらでもない",2.910,396.000
"20A115",2020.000,3,"保健学部","1年生",12,8,"20 時間以上",3,"どちらでもない",4,"満足",5,"とてもそう思う",2,"あまり充実していない",1,"まったくうまくいかなかった",3,"いくらかうまくいった",4,"満足",4,"満足",2.270,196.000
"20A116",2020.000,3,"保健学部","1年生",9,4,"3-5 時間",4,"よく理解できた",3,"どちらでもない",4,"ややそう思う",1,"充実していない",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",1,"とても不満",1,"とても不満",1.690,240.000
"20A117",2020.000,2,"商学部","1年生",10,7,"16-20 時間",4,"よく理解できた",2,"不満",5,"とてもそう思う",2,"あまり充実していない",1,"まったくうまくいかなかった",2,"あまりうまくいかなかった",3,"どちらでもない",3,"どちらでもない",2.520,767.000
"20A118",2020.000,3,"保健学部","1年生",5,7,"16-20 時間",4,"よく理解できた",2,"不満",2,"あまりそう思わない",1,"充実していない",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",1,"とても不満",2,"不満",3.100,557.000
"20A119",2020.000,2,"商学部","1年生",12,8,"20 時間以上",1,"まったく理解できなかった",3,"どちらでもない",5,"とてもそう思う",3,"まあまあ充実している",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",4,"満足",3,"どちらでもない",2.960,339.000
"20A120",2020.000,2,"商学部","1年生",8,4,"3-5 時間",3,"どちらでもない",4,"満足",2,"あまりそう思わない",4,"充実している",1,"まったくうまくいかなかった",3,"いくらかうまくいった",5,"とても満足",4,"満足",1.080,271.000
"20A121",2020.000,3,"保健学部","1年生",12,4,"3-5 時間",4,"よく理解できた",5,"とても満足",5,"とてもそう思う",2,"あまり充実していない",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",3,"どちらでもない",5,"とても満足",2.970,443.000
"20A122",2020.000,1,"文学部","1年生",11,6,"11-15 時間",2,"あまり理解できなかった",3,"どちらでもない",5,"とてもそう思う",2,"あまり充実していない",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",2,"不満",3,"どちらでもない",3.430,586.000
"20A123",2020.000,3,"保健学部","1年生",13,4,"3-5 時間",3,"どちらでもない",1,"とても不満",5,"とてもそう思う",1,"充実していない",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",3,"どちらでもない",4,"満足",2.120,382.000
"20A124",2020.000,3,"保健学部","1年生",9,7,"16-20 時間",4,"よく理解できた",2,"不満",4,"ややそう思う",2,"あまり充実していない",3,"いくらかうまくいった",2,"あまりうまくいかなかった",3,"どちらでもない",5,"とても満足",0.220,155.000
"20A125",2020.000,3,"保健学部","1年生",3,2,"1 時間未満",4,"よく理解できた",5,"とても満足",1,"まったくそう思わない",3,"まあまあ充実している",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",3,"どちらでもない",3,"どちらでもない",1.670,340.000
"20A126",2020.000,2,"商学部","1年生",12,7,"16-20 時間",4,"よく理解できた",5,"とても満足",5,"とてもそう思う",4,"充実している",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",1,"とても不満",4,"満足",3.990,836.000
"20A127",2020.000,1,"文学部","1年生",12,6,"11-15 時間",1,"まったく理解できなかった",2,"不満",5,"とてもそう思う",3,"まあまあ充実している",1,"まったくうまくいかなかった",3,"いくらかうまくいった",2,"不満",3,"どちらでもない",2.920,431.000
"20A128",2020.000,1,"文学部","1年生",8,6,"11-15 時間",3,"どちらでもない",2,"不満",5,"とてもそう思う",2,"あまり充実していない",2,"あまりうまくいかなかった",2,"あまりうまくいかなかった",3,"どちらでもない",1,"とても不満",2.900,567.000
"20A129",2020.000,1,"文学部","1年生",10,5,"6-10 時間",4,"よく理解できた",3,"どちらでもない",5,"とてもそう思う",2,"あまり充実していない",3,"いくらかうまくいった",1,"まったくうまくいかなかった",4,"満足",2,"不満",2.060,372.000
"20A130",2020.000,2,"商学部","1年生",11,6,"11-15 時間",5,"大変よく理解できた",4,"満足",5,"とてもそう思う",2,"あまり充実していない",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",2,"不満",3,"どちらでもない",2.680,465.000
"20A131",2020.000,1,"文学部","1年生",6,5,"6-10 時間",5,"大変よく理解できた",5,"とても満足",5,"とてもそう思う",4,"充実している",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",4,"満足",4,"満足",3.140,733.000
"20A132",2020.000,2,"商学部","1年生",9,3,"1-2 時間",2,"あまり理解できなかった",3,"どちらでもない",5,"とてもそう思う",1,"充実していない",2,"あまりうまくいかなかった",1,"まったくうまくいかなかった",3,"どちらでもない",1,"とても不満",3.050,829.000
"20A133",2020.000,3,"保健学部","1年生",8,7,"16-20 時間",1,"まったく理解できなかった",2,"不満",4,"ややそう思う",3,"まあまあ充実している",2,"あまりうまくいかなかった",2,"あまりうまくいかなかった",4,"満足",2,"不満",3.060,596.000
"20A134",2020.000,3,"保健学部","1年生",11,6,"11-15 時間",3,"どちらでもない",1,"とても不満",5,"とてもそう思う",2,"あまり充実していない",2,"あまりうまくいかなかった",1,"まったくうまくいかなかった",3,"どちらでもない",3,"どちらでもない",2.740,237.000
"20A135",2020.000,2,"商学部","1年生",12,4,"3-5 時間",5,"大変よく理解できた",4,"満足",5,"とてもそう思う",4,"充実している",4,"とてもうまくいった",4,"とてもうまくいった",4,"満足",4,"満足",3.140,541.000
"20A136",2020.000,2,"商学部","1年生",13,6,"11-15 時間",4,"よく理解できた",3,"どちらでもない",5,"とてもそう思う",3,"まあまあ充実している",1,"まったくうまくいかなかった",3,"いくらかうまくいった",3,"どちらでもない",1,"とても不満",3.210,585.000
"20A137",2020.000,3,"保健学部","1年生",12,8,"20 時間以上",4,"よく理解できた",4,"満足",5,"とてもそう思う",3,"まあまあ充実している",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",1,"とても不満",2,"不満",2.790,781.000
"20A138",2020.000,2,"商学部","1年生",2,1,"全然ない",3,"どちらでもない",2,"不満",1,"まったくそう思わない",3,"まあまあ充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",2,"不満",3,"どちらでもない",1.860,200.000
"20A139",2020.000,2,"商学部","1年生",13,8,"20 時間以上",3,"どちらでもない",3,"どちらでもない",5,"とてもそう思う",1,"充実していない",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",3,"どちらでもない",4,"満足",1.960,494.000
"20A140",2020.000,1,"文学部","1年生",6,3,"1-2 時間",5,"大変よく理解できた",4,"満足",4,"ややそう思う",2,"あまり充実していない",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",4,"満足",5,"とても満足",1.110,351.000
"20A141",2020.000,2,"商学部","1年生",12,6,"11-15 時間",3,"どちらでもない",5,"とても満足",5,"とてもそう思う",3,"まあまあ充実している",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",5,"とても満足",3,"どちらでもない",2.740,725.000
"20A142",2020.000,3,"保健学部","1年生",12,7,"16-20 時間",1,"まったく理解できなかった",1,"とても不満",5,"とてもそう思う",3,"まあまあ充実している",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",3,"どちらでもない",4,"満足",1.650,415.000
"20A143",2020.000,3,"保健学部","1年生",13,6,"11-15 時間",3,"どちらでもない",2,"不満",4,"ややそう思う",3,"まあまあ充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",4,"満足",3,"どちらでもない",3.500,707.000
"20A144",2020.000,3,"保健学部","1年生",9,5,"6-10 時間",2,"あまり理解できなかった",2,"不満",3,"どちらでもない",4,"充実している",2,"あまりうまくいかなかった",1,"まったくうまくいかなかった",5,"とても満足",3,"どちらでもない",2.600,577.000
"20A145",2020.000,2,"商学部","1年生",10,6,"11-15 時間",3,"どちらでもない",3,"どちらでもない",4,"ややそう思う",3,"まあまあ充実している",1,"まったくうまくいかなかった",2,"あまりうまくいかなかった",2,"不満",2,"不満",1.970,504.000
"20A146",2020.000,1,"文学部","1年生",11,5,"6-10 時間",3,"どちらでもない",4,"満足",4,"ややそう思う",2,"あまり充実していない",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",3,"どちらでもない",3,"どちらでもない",2.420,510.000
"20A147",2020.000,3,"保健学部","1年生",11,8,"20 時間以上",5,"大変よく理解できた",4,"満足",5,"とてもそう思う",4,"充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",4,"満足",4,"満足",3.250,643.000
"20A148",2020.000,1,"文学部","1年生",8,5,"6-10 時間",2,"あまり理解できなかった",2,"不満",4,"ややそう思う",2,"あまり充実していない",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",3,"どちらでもない",3,"どちらでもない",1.890,480.000
"20A149",2020.000,3,"保健学部","1年生",10,5,"6-10 時間",2,"あまり理解できなかった",2,"不満",5,"とてもそう思う",2,"あまり充実していない",2,"あまりうまくいかなかった",2,"あまりうまくいかなかった",2,"不満",1,"とても不満",3.130,681.000
"20A150",2020.000,2,"商学部","1年生",5,5,"6-10 時間",1,"まったく理解できなかった",1,"とても不満",1,"まったくそう思わない",2,"あまり充実していない",4,"とてもうまくいった",3,"いくらかうまくいった",3,"どちらでもない",2,"不満",2.870,321.000
"20A151",2020.000,1,"文学部","1年生",12,7,"16-20 時間",2,"あまり理解できなかった",3,"どちらでもない",5,"とてもそう思う",3,"まあまあ充実している",1,"まったくうまくいかなかった",2,"あまりうまくいかなかった",4,"満足",3,"どちらでもない",3.020,675.000
"20A152",2020.000,2,"商学部","1年生",4,4,"3-5 時間",4,"よく理解できた",3,"どちらでもない",1,"まったくそう思わない",4,"充実している",2,"あまりうまくいかなかった",3,"いくらかうまくいった",5,"とても満足",4,"満足",2.560,462.000
"20A153",2020.000,2,"商学部","1年生",10,5,"6-10 時間",3,"どちらでもない",5,"とても満足",5,"とてもそう思う",2,"あまり充実していない",1,"まったくうまくいかなかった",4,"とてもうまくいった",4,"満足",5,"とても満足",2.420,709.000
"20A154",2020.000,1,"文学部","1年生",4,4,"3-5 時間",1,"まったく理解できなかった",1,"とても不満",1,"まったくそう思わない",3,"まあまあ充実している",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",2,"不満",3,"どちらでもない",2.290,830.000
"20A155",2020.000,2,"商学部","1年生",13,7,"16-20 時間",4,"よく理解できた",3,"どちらでもない",5,"とてもそう思う",1,"充実していない",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",3,"どちらでもない",4,"満足",2.130,258.000
"20A156",2020.000,1,"文学部","1年生",13,7,"16-20 時間",4,"よく理解できた",2,"不満",4,"ややそう思う",2,"あまり充実していない",2,"あまりうまくいかなかった",2,"あまりうまくいかなかった",2,"不満",5,"とても満足",2.550,487.000
"20A157",2020.000,3,"保健学部","1年生",13,6,"11-15 時間",4,"よく理解できた",5,"とても満足",5,"とてもそう思う",2,"あまり充実していない",4,"とてもうまくいった",2,"あまりうまくいかなかった",3,"どちらでもない",3,"どちらでもない",2.960,588.000
"20A158",2020.000,2,"商学部","1年生",11,7,"16-20 時間",3,"どちらでもない",4,"満足",4,"ややそう思う",2,"あまり充実していない",2,"あまりうまくいかなかった",1,"まったくうまくいかなかった",4,"満足",4,"満足",2.870,722.000
"20A159",2020.000,3,"保健学部","1年生",14,7,"16-20 時間",3,"どちらでもない",4,"満足",5,"とてもそう思う",3,"まあまあ充実している",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",4,"満足",3,"どちらでもない",2.290,639.000
"20A160",2020.000,3,"保健学部","1年生",9,5,"6-10 時間",2,"あまり理解できなかった",2,"不満",3,"どちらでもない",3,"まあまあ充実している",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",3,"どちらでもない",3,"どちらでもない",3.650,559.000
"20A161",2020.000,1,"文学部","1年生",10,6,"11-15 時間",1,"まったく理解できなかった",3,"どちらでもない",3,"どちらでもない",2,"あまり充実していない",2,"あまりうまくいかなかった",2,"あまりうまくいかなかった",2,"不満",2,"不満",3.270,517.000
"20A162",2020.000,1,"文学部","1年生",11,7,"16-20 時間",2,"あまり理解できなかった",4,"満足",5,"とてもそう思う",4,"充実している",1,"まったくうまくいかなかった",4,"とてもうまくいった",3,"どちらでもない",3,"どちらでもない",2.150,646.000
"20A163",2020.000,3,"保健学部","1年生",6,6,"11-15 時間",5,"大変よく理解できた",4,"満足",4,"ややそう思う",2,"あまり充実していない",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",2,"不満",4,"満足",3.160,590.000
"20A164",2020.000,1,"文学部","1年生",4,3,"1-2 時間",5,"大変よく理解できた",5,"とても満足",1,"まったくそう思わない",3,"まあまあ充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",3,"どちらでもない",3,"どちらでもない",2.590,574.000
"20A165",2020.000,3,"保健学部","1年生",14,6,"11-15 時間",3,"どちらでもない",4,"満足",5,"とてもそう思う",4,"充実している",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",4,"満足",4,"満足",2.360,693.000
"20A166",2020.000,2,"商学部","1年生",14,8,"20 時間以上",3,"どちらでもない",2,"不満",4,"ややそう思う",2,"あまり充実していない",2,"あまりうまくいかなかった",1,"まったくうまくいかなかった",2,"不満",3,"どちらでもない",2.610,695.000
"20A167",2020.000,3,"保健学部","1年生",9,5,"6-10 時間",2,"あまり理解できなかった",3,"どちらでもない",4,"ややそう思う",1,"充実していない",1,"まったくうまくいかなかった",3,"いくらかうまくいった",3,"どちらでもない",3,"どちらでもない",0.140,120.000
"20A168",2020.000,3,"保健学部","1年生",10,4,"3-5 時間",1,"まったく理解できなかった",3,"どちらでもない",3,"どちらでもない",2,"あまり充実していない",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",3,"どちらでもない",2,"不満",1.460,155.000
"20A169",2020.000,1,"文学部","1年生",11,4,"3-5 時間",2,"あまり理解できなかった",4,"満足",4,"ややそう思う",3,"まあまあ充実している",2,"あまりうまくいかなかった",1,"まったくうまくいかなかった",3,"どちらでもない",3,"どちらでもない",2.290,440.000
"20A170",2020.000,1,"文学部","1年生",9,6,"11-15 時間",5,"大変よく理解できた",1,"とても不満",5,"とてもそう思う",1,"充実していない",1,"まったくうまくいかなかった",2,"あまりうまくいかなかった",3,"どちらでもない",3,"どちらでもない",2.570,634.000
"20A171",2020.000,3,"保健学部","1年生",8,5,"6-10 時間",4,"よく理解できた",1,"とても不満",4,"ややそう思う",2,"あまり充実していない",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",2,"不満",2,"不満",2.420,691.000
"20A172",2020.000,3,"保健学部","1年生",11,4,"3-5 時間",3,"どちらでもない",3,"どちらでもない",4,"ややそう思う",3,"まあまあ充実している",3,"いくらかうまくいった",3,"いくらかうまくいった",3,"どちらでもない",3,"どちらでもない",3.780,540.000
"20A173",2020.000,1,"文学部","1年生",12,7,"16-20 時間",4,"よく理解できた",4,"満足",4,"ややそう思う",2,"あまり充実していない",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",4,"満足",4,"満足",1.200,235.000
"20A174",2020.000,2,"商学部","1年生",13,5,"6-10 時間",3,"どちらでもない",3,"どちらでもない",5,"とてもそう思う",3,"まあまあ充実している",2,"あまりうまくいかなかった",1,"まったくうまくいかなかった",3,"どちらでもない",1,"とても不満",2.010,557.000
"20A175",2020.000,2,"商学部","1年生",12,6,"11-15 時間",2,"あまり理解できなかった",1,"とても不満",4,"ややそう思う",2,"あまり充実していない",2,"あまりうまくいかなかった",2,"あまりうまくいかなかった",2,"不満",2,"不満",2.570,578.000
"20A176",2020.000,3,"保健学部","1年生",7,5,"6-10 時間",1,"まったく理解できなかった",1,"とても不満",3,"どちらでもない",1,"充実していない",3,"いくらかうまくいった",1,"まったくうまくいかなかった",2,"不満",3,"どちらでもない",2.650,585.000
"20A177",2020.000,3,"保健学部","1年生",13,7,"16-20 時間",3,"どちらでもない",3,"どちらでもない",4,"ややそう思う",4,"充実している",2,"あまりうまくいかなかった",3,"いくらかうまくいった",3,"どちらでもない",4,"満足",2.020,407.000
"20A178",2020.000,2,"商学部","1年生",4,5,"6-10 時間",2,"あまり理解できなかった",4,"満足",4,"ややそう思う",2,"あまり充実していない",1,"まったくうまくいかなかった",3,"いくらかうまくいった",4,"満足",5,"とても満足",2.270,585.000
"20A179",2020.000,1,"文学部","1年生",7,5,"6-10 時間",4,"よく理解できた",5,"とても満足",5,"とてもそう思う",3,"まあまあ充実している",2,"あまりうまくいかなかった",3,"いくらかうまくいった",5,"とても満足",5,"とても満足",2.040,532.000
"20A180",2020.000,2,"商学部","1年生",12,6,"11-15 時間",4,"よく理解できた",3,"どちらでもない",4,"ややそう思う",2,"あまり充実していない",2,"あまりうまくいかなかった",4,"とてもうまくいった",3,"どちらでもない",4,"満足",1.450,659.000
"20A181",2020.000,3,"保健学部","1年生",10,8,"20 時間以上",1,"まったく理解できなかった",1,"とても不満",5,"とてもそう思う",3,"まあまあ充実している",2,"あまりうまくいかなかった",2,"あまりうまくいかなかった",4,"満足",3,"どちらでもない",2.950,323.000
"20A182",2020.000,1,"文学部","1年生",8,5,"6-10 時間",2,"あまり理解できなかった",2,"不満",2,"あまりそう思わない",2,"あまり充実していない",2,"あまりうまくいかなかった",4,"とてもうまくいった",3,"どちらでもない",3,"どちらでもない",2.010,296.000
"20A183",2020.000,1,"文学部","1年生",10,6,"11-15 時間",3,"どちらでもない",3,"どちらでもない",3,"どちらでもない",2,"あまり充実していない",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",2,"不満",2,"不満",1.780,607.000
"20A184",2020.000,2,"商学部","1年生",11,5,"6-10 時間",4,"よく理解できた",4,"満足",5,"とてもそう思う",3,"まあまあ充実している",2,"あまりうまくいかなかった",1,"まったくうまくいかなかった",3,"どちらでもない",3,"どちらでもない",3.060,654.000
"20A185",2020.000,3,"保健学部","1年生",14,6,"11-15 時間",5,"大変よく理解できた",5,"とても満足",5,"とてもそう思う",1,"充実していない",1,"まったくうまくいかなかった",3,"いくらかうまくいった",4,"満足",4,"満足",2.890,857.000
"20A186",2020.000,3,"保健学部","1年生",9,4,"3-5 時間",1,"まったく理解できなかった",4,"満足",4,"ややそう思う",1,"充実していない",2,"あまりうまくいかなかった",2,"あまりうまくいかなかった",3,"どちらでもない",3,"どちらでもない",1.370,679.000
"20A187",2020.000,2,"商学部","1年生",10,7,"16-20 時間",1,"まったく理解できなかった",2,"不満",5,"とてもそう思う",2,"あまり充実していない",3,"いくらかうまくいった",2,"あまりうまくいかなかった",3,"どちらでもない",3,"どちらでもない",2.780,629.000
"20A188",2020.000,3,"保健学部","1年生",11,7,"16-20 時間",1,"まったく理解できなかった",2,"不満",2,"あまりそう思わない",4,"充実している",4,"とてもうまくいった",3,"いくらかうまくいった",3,"どちらでもない",2,"不満",1.850,606.000
"20A189",2020.000,1,"文学部","1年生",12,5,"6-10 時間",2,"あまり理解できなかった",3,"どちらでもない",5,"とてもそう思う",3,"まあまあ充実している",1,"まったくうまくいかなかった",2,"あまりうまくいかなかった",4,"満足",3,"どちらでもない",3.340,702.000
"20A190",2020.000,2,"商学部","1年生",6,4,"3-5 時間",3,"どちらでもない",3,"どちらでもない",1,"まったくそう思わない",2,"あまり充実していない",2,"あまりうまくいかなかった",2,"あまりうまくいかなかった",5,"とても満足",4,"満足",3.240,422.000
"20A191",2020.000,3,"保健学部","1年生",12,5,"6-10 時間",3,"どちらでもない",4,"満足",5,"とてもそう思う",2,"あまり充実していない",2,"あまりうまくいかなかった",1,"まったくうまくいかなかった",3,"どちらでもない",5,"とても満足",3.090,881.000
"20A192",2020.000,1,"文学部","1年生",5,6,"11-15 時間",2,"あまり理解できなかった",2,"不満",3,"どちらでもない",2,"あまり充実していない",2,"あまりうまくいかなかった",3,"いくらかうまくいった",2,"不満",3,"どちらでもない",2.870,302.000
"20A193",2020.000,1,"文学部","1年生",13,8,"20 時間以上",3,"どちらでもない",2,"不満",5,"とてもそう思う",2,"あまり充実していない",2,"あまりうまくいかなかった",1,"まったくうまくいかなかった",3,"どちらでもない",4,"満足",2.660,813.000
"20A194",2020.000,3,"保健学部","1年生",12,7,"16-20 時間",4,"よく理解できた",3,"どちらでもない",4,"ややそう思う",2,"あまり充実していない",3,"いくらかうまくいった",2,"あまりうまくいかなかった",2,"不満",5,"とても満足",1.530,304.000
"20A195",2020.000,3,"保健学部","1年生",3,3,"1-2 時間",5,"大変よく理解できた",4,"満足",1,"まったくそう思わない",3,"まあまあ充実している",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",3,"どちらでもない",3,"どちらでもない",2.830,630.000
"20A196",2020.000,2,"商学部","1年生",14,8,"20 時間以上",4,"よく理解できた",5,"とても満足",4,"ややそう思う",1,"充実していない",2,"あまりうまくいかなかった",2,"あまりうまくいかなかった",4,"満足",4,"満足",1.770,614.000
"20A197",2020.000,3,"保健学部","1年生",10,6,"11-15 時間",1,"まったく理解できなかった",1,"とても不満",5,"とてもそう思う",2,"あまり充実していない",2,"あまりうまくいかなかった",3,"いくらかうまくいった",3,"どちらでもない",3,"どちらでもない",2.440,365.000
"20A198",2020.000,3,"保健学部","1年生",8,6,"11-15 時間",2,"あまり理解できなかった",2,"不満",5,"とてもそう思う",2,"あまり充実していない",2,"あまりうまくいかなかった",2,"あまりうまくいかなかった",3,"どちらでもない",3,"どちらでもない",2.760,451.000
"20A199",2020.000,1,"文学部","1年生",8,5,"6-10 時間",2,"あまり理解できなかった",2,"不満",4,"ややそう思う",2,"あまり充実していない",1,"まったくうまくいかなかった",1,"まったくうまくいかなかった",3,"どちらでもない",3,"どちらでもない",2.770,347.000
"20A200",2020.000,3,"保健学部","1年生",10,5,"6-10 時間",2,"あまり理解できなかった",2,"不満",5,"とてもそう思う",2,"あまり充実していない",2,"あまりうまくいかなかった",2,"あまりうまくいかなかった",2,"不満",1,"とても不満",2.350,504.000
"20A201",2020.000,2,"商学部","1年生",5,5,"6-10 時間",1,"まったく理解できなかった",1,"とても不満",4,"ややそう思う",2,"あまり充実していない",2,"あまりうまくいかなかった",3,"いくらかうまくいった",3,"どちらでもない",2,"不満",2.040,716.000
